product_id,product_desc,magnitude,product_weight,unit,product_USP,MRP,MRP_per_pack,selling_price,sp_per_pack,base_price,base_unit,subscription_price,discount_text,brand,main_category,sub_category1,sub_category2,avg_rating,children,about_the_product
40203892,Organic - Horse Gram/Hurali Kaalu,1000,1 kg,g,"GMO Free, Synthetic Pesticide Free",189,,149,,149,kg,149,21% OFF,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,,N,"About the Product:
Organic horse gram is a variety of beans generally used in many south Indian dishes. It is a reddish oval-shaped, brown coloured, flattened and glossy skinned lentil. The edible seeds are very nutritious and are used for multiple cooking purposes.
BB Royal is our premium range of staples, spices, flour, rice, millets, pulses and more. We bring to you the finest quality sourced from the best farm with competitive prices.
Ingredients:
Horse Gram/Kulthi.
How to Use:
Organic horse gram is soaked prior to cooking to soften and is commonly used in curries, stews and chutneys.
They are consumed sprouted as well.
It is also used in desserts.
Other Product Info:
EAN Code: 40203892  FSSAI Number: 11214334000011, 10015042002228  Manufacturer Name & Address: PAPAS Trading,NO-39/40,2ndCross,KN Govindappa reddy layout,BG Road ,Arekere,Banglore-76.  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071.  Country of Origin: India  Best before 10-09-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40134030,Organic - Horse Gram/Hurali Kaalu,500,500 g,g,"GMO Free, Synthetic Pesticide Free",96,,76,,0.15,g,76,21% OFF,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,,Y,"About the Product:
Organic horse gram is a variety of bean generally used in many south Indian dishes. It is a reddish oval-shaped, brown coloured, flattened and glossy skinned lentil. The edible seeds are very nutritious and are used for multiple cooking purposes.
Nutritional Facts:
Calories: 112,
Carbs: 20 g,
Fat: 0 g,
Protein: 8 g.
How to Use:
Ready to use.
Benefits:
Controls Diabetes.
Promotes Weight Loss.
Improves Sperm Count.
Protects Liver Functions.
Treats Kidney Stones.
Other Product Info:
EAN Code: 40134030  Manufacture by:Papas Trading Pvt ltd, No39/40, 2nd Cross, KN Govindareddy Layout, Arekere,BG Road,Banglore-560071  FSSAI Number: 11214334000011  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767  Country of origin: India  Best before 10-09-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com
"
40210226,Iodized Crystal Salt/Uppu,1000,1 kg,g,,22,,19.84,,19.84,kg,19.84,10% OFF,Aashirvaad,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Salts,4.1,N,"About the Product:
Aashirvaad Iodized Crystal Salt helps you enjoy the taste of age-old cooking even today. It is made from the traditional solar evaporation process and is sun-dried for 3 weeks, making each crystal unique with a natural white colour and balanced taste. Salt helps in balancing blood pressure and maintaining the fluid in the blood. The mineral content in the salt acts as important electrolytes in the body. Add this salt to your food and enhance the flavour.
Other Product Info:
EAN Code: 40210226 Country of Origin: India Manufacturer & Marketed by: ITC Limited 37 J.L. Nehru Road Kolkata- 700071 FSSAI Number: 10012031000312 Best before 23-01-2025Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.For Queries/Feedback/Complaints, contact our customer care executive at 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory Bus Stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket.com
"
40087194,100% Natural Premium Kashmiri Walnut Kernels,200,200 g,g,,455,,341.25,,1.71,g,341.25,25% OFF,Happilo,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Dry Fruits & Berries,3.7,N,"About the Product:
Happilo 100% Natural Premium Walnut Kernels are ideal for snacking, baking, and enhancing various dishes with a rich, nutty taste. Perfect for those who appreciate premium quality nuts in their culinary creations, Happilo walnut kernels provide an excellent addition to your pantry.
Features:
High protein
How to Use:
Perfect Snack Add walnuts to your favourite muffin and bread recipes or chop the nuts and scatter them over grilled steak or fish. Tasty nuts used in parties and for toppings.
Other Product Info:
EAN Code: 40087194 Manufacturer Name & Address: Happilo International Pvt Ltd, 7 1st Floor Yeshwantpur Bangalore 560022. Country of Origin: Turkey Best before 24-12-2024 Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.For Queries/Feedback/Complaints, contact our customer care executive at 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory Bus Stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket.com
"
40017929,Natural Jaggery/Bella Powder,1000,1 kg,g,,159,,143.1,,143.1,kg,143.1,₹16 OFF,Forgreen,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Sugar & Jaggery,4.1,N,
40008427,Natural Jaggery/Bella Powder,500,500 g,g,,79,,71.1,,0.14,g,71.1,10% OFF,Forgreen,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Sugar & Jaggery,4.1,Y,
190594,Basmati Rice/Basmati Akki - Super,5000,5 kg,g,Non-Sticky Grains,1140,,809.19,,161.84,kg,809.19,29% OFF,India Gate,"Foodgrains, Oil & Masala",Rice & Rice Products,Basmati Rice,4.1,N,"About the Product:
From the World's No. 1 Basmati Rice* brand, India GateÃ‚Â SuperÃ‚Â Basmati RiceÃ‚Â is one of the most premium basmati rice. It is defined by its fine texture, long and slender and pearlescent white grains. When cooked, the grains elongate up to three times in length. Grown and harvested in the north-western foothills of the Himalayas, thisÃ‚Â Basmati riceÃ‚Â helps fuel your body with the essential vitamins and nutrients. It is aged for a minimum of 1.5 years which results in better volume, fluffiness and yield. This aging process also imparts the distinct basmati aroma and taste. The India Gate Super Basmati Rice is produced with international quality standards, cleaned, sorted and packed in superior, hygienic and state-of-the-art facilities, completely untouched by human hands.
Ingredients:
Basmati Rice
Other Product Info:
EAN Code: 690225306782   Manufactured Name & Marketed By :KRBL Ltd., C-32, 5th Floor, Sector-62, Noida, Uttar Pradesh-201301. FSSAI : Country of Origin: India Best Before 11-08-2025.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
Nutritional Facts:
Energy (kcal) 355
Protein (g) 9
Carbohydrate (g) 78
Fat (g) 0.5 
Saturated (g) 0.1
Sugar (g) 1
Sodium (mg) 0.6
Storage and Uses:
1. Store in a cool, dry place away from the sunlight.
2. Shelf-life 24 months.  3.Rinse the rice thoroughly before use.
"
243335,Basmati Rice/Basmati Akki - Super,1500,1.5 kg,g,Non-Sticky Grains,280,,266.2,,177.47,kg,266.2,₹14 OFF,India Gate,"Foodgrains, Oil & Masala",Rice & Rice Products,Basmati Rice,4.1,Y,"About the Product:
From the World's No. 1 Basmati Rice* brand, India GateÃ‚Â SuperÃ‚Â Basmati RiceÃ‚Â is one of the most premium basmati rice. It is defined by its fine texture, long and slender and pearlescent white grains. When cooked, the grains elongate up to three times in length. Grown and harvested in the north-western foothills of the Himalayas, thisÃ‚Â Basmati riceÃ‚Â helps fuel your body with the essential vitamins and nutrients. It is aged for a minimum of 1.5 years which results in better volume, fluffiness and yield. This aging process also imparts the distinct basmati aroma and taste. The India Gate Super Basmati Rice is produced with international quality standards, cleaned, sorted and packed in superior, hygienic and state-of-the-art facilities, completely untouched by human hands.
Ingredients:
Basmati Rice
Other Product Info:
EAN Code: 890225306775   Manufactured Name & Marketed By :KRBL Ltd., C-32, 5th Floor, Sector-62, Noida, Uttar Pradesh-201301. FSSAI : Country of Origin: India Best Before 23-01-2025.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
Nutritional Facts:
Energy (kcal) 355
Protein (g) 9
Carbohydrate (g) 78
Fat (g) 0.5 
Saturated (g) 0.1
Sugar (g) 1
Sodium (mg) 0.6
Storage and Uses:
1. Store in a cool, dry place away from the sunlight.
2. Shelf-life 24 months.  3.Rinse the rice thoroughly before use.
"
40311588,Pure & Unrefined Cold Pressed Mustard Oil,1000,1 L,ml,"Extracted From A1 Grade Mustard Seeds, Cholesterol Free, Provides Omega-3 Pufa, Use In Daily Cooking, Multipurpose Usage, Purity In Every Drop",325,,286,,286,L,286,12% OFF,Tata Simply Better,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cold Pressed Oil,,N,"About the Product:
We bring you the goodness of real mustard seeds with Tata Simply Better 100% Pure and Unrefined Cold Pressed Mustard Oil. Extracted from A1 grade mustard seeds, this cold-pressed mustard oil ensures purity and aroma in every drop. Cold pressing technology helps preserve the vital nutrients, rich aroma, and flavour of real mustard seeds, making it suitable for cooking as well as for raw consumption. Tata Simply Better Cold Pressed Mustard Oil is naturally cholesterol-free, helps in maintaining normal blood cholesterol, and is an alternative to refined oils. This mustard oil is also rich in Vitamin E, a natural antioxidant. So, without giving a second thought, make Tata Simply Better Cold Pressed Mustard oil - your cooking partner and a part of your daily regime.
Features:
Bring home the goodness of pure mustard seeds with Tata Simply Better 100% Pure and Unrefined Cold Pressed Mustard Oil. Tata Simply Better Cold Pressed Oil is extracted from A1 grade mustard seeds. This cold-pressed mustard oil is good for your well-being as it is cholesterol-free. Tata Simply Better Mustard Oil helps maintain normal blood cholesterol. Tata Simply Better Cold Pressed Mustard Oil can be used for daily cooking and raw consumption.
How to Use:
Cold-pressed mustard oil can be used for various culinary purposes such as sautéing, frying, and marinating, and even as a flavorful addition to dressings and sauces, lending a distinct tangy taste and aroma to your dishes. Storage Instructions: Store in a cool, dry place. Keep away from direct sunlight. |
Other Product Info:
EAN Code: 40311588 Manufactured Name & Marketed By: (WC) Western India Sea Brines Pvt. Ltd. Survey No. 281 Salt City Village: Chopadva Taluka: Bhachau Bhuj District-Kutch Gujarat - 370 140. (SB) M/s Shree Ram Brine Chem Industries Plot No. 2 Survey No. 286 Paiki Paiki-2 Northern East Village: Chopadava District-Kutch Gujarat - 370 140. (CS) CHIRAI SALT (INDIA) PVT. LTD. D-2 Sector-12 Heavy Industrial Area Gandhidham Bhuj District-Kutch Gujarat - 370 201. (GB) Global Brand Resources Pvt. Ltd. Plot No. 506 Phase - 2 Kandla Special Economic Zone Gandhidham Bhuj District-KutchFSSAI: 10014031001025Country of Origin: India Best before 10-02-2025Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry dateFor Queries/Feedback/Complaints, contact our customer care executive at 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory Bus Stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket.com
"
40088187,Organic - Cashew/Godambi Broken,100,100 g,g,,170,,112,,1.12,g,112,34% OFF,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,,N,"About the Product:
Cashew, or Kaju is a popular nut known for its creamy texture and rich, buttery flavour. These nuts are not only delicious but also packed with nutrients, including healthy fats, protein, fibre, and essential minerals such as magnesium and zinc. Versatile in use, cashews can be enjoyed as a snack, added to desserts, or used in savoury dishes like stir-fries and curries.
How to Use:
Raw broken cashew pieces are ideal for cooking and baking.They can be added to kheer, ice creams, cakes and even salads.
Other Product Info:
EAN Code: 40088187 FSSAI Number: 11214334000011, 10019043002767Manufacturer Name & Address: Papas Trading Pvt Ltd, No39/40, 2nd Cross, KN Govinda Reddy Layout, Arekere, BG Road, Bengaluru-560076Marketed By: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071Country of origin: IndiaBest before 10-10-2024 Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.For Queries/Feedback/Complaints, contact our customer care executive at 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory Bus Stop. KR Puram, Bangalore - 560016 Email: customerservice@bigbasket.com
"
