product_id,product_desc,magnitude,product_weight,unit,product_USP,MRP,MRP_per_pack,selling_price,sp_per_pack,base_price,base_unit,subscription_price,discount_text,brand,main_category,sub_category1,sub_category2,avg_rating,children,about_the_product
40280383,"Premium Natural Chia Seeds - Weight Loss With Omega 3, Non-GMO",200,200 g,g,,199,,183.08,,0.92,g,183.08,₹16 OFF,Farmley,"Foodgrains, Oil & Masala",Dry Fruits,Other Dry Fruits,4.5,N,"About the Product:
Farmley Premium Chia Seeds are loaded with health benefits and nutrients. It is 100% natural, free from any chemicals or preservatives and best selected. They are slightly subtle and nutty-flavoured seeds. It is high in fibre and protein and filled with lots of health benefits. It can be eaten raw, soaked in juice, added to porridge, pudding, smoothies or added to baked goods. They can also sprinkle them on top of cereal, yogurt, vegetables, or rice dishes.
Ingredients:
Chia Seeds.
Nutritional Facts:
Per 100 g:-

Energy 490.0 kcal 
Carbohydrates 44.0 g
Protein 16.5 g 
Total Sugar Nil g 
Total fat 31.0 g 
Saturated fat 4.2 g 
Trans fat Nil g 
Dietary Fiber 33.4 g 
Cholesterol Nil mg.
How to Use:
First, soak Raw Chia Seeds in water for 2-3 minutes.
Then use them the way you want (as a porridge, yogurt, salad etc.).
They can also be added to your bakery goods
Other Product Info:
EAN Code: 8906120100137 Manufactured Name & Marketed By Connedit Business Solutions Pvt LtdPlot No. 86, Okhla Industrial Estate, Phase - III, New Delhi 110045FSSAI: 10019011006547Country of Origin: India Best Before 11-02-2025.
 For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40303171,Premium Fig/Anjeer,250,250 g,g,"Naturally Nutritious Snack, Source of Potassium, Source of Fibre, Zero Trans Fat",599,,368.12,,1.47,g,368.12,39% OFF,ProV,"Foodgrains, Oil & Masala",Dry Fruits,Other Dry Fruits,3.9,N,"About the Product:
Figs are sweet fruit with multiple seeds and soft skin, which can be eaten ripe or dried. Figs are also called one of nature’s candies because they are high in natural sugar. Figs are rich in fibre, and magnesium and are a great source of various other vitamins and minerals. ProV Premium Dried Figs (Anjeer) provides you with this sweet fruit in its ready-to-eat dried form, which is a naturally sweet snack available for you all year round.
We at ‘ProV’ believe in creating a line of ‘Nature's Nutritious Produce’ to provide you with an alternative to those relatively unhealthy options that surround us in our fast-paced life. Explore, to know more.
 Benefits 

Premium quality Anjeer.
Great source of potassium and fibre.
Zero trans-fat.
Good for snacking.
Sourced from the finest orchards.
Inspires healthier choices for nutritional living.
A step towards wholesome goodness.
Ingredients:
Dried Figs.
How to Use:
Now make your snacking time more healthy and nutritional with ProV premium anjeer.
You can also make several desserts with the same as it provides a great texture and taste.
A perfect accompaniment during a travelling to satisfy your hunger pangs.
Storage Instructions: Best to be stored at room temperature, away from moisture.
Nutritional Facts:
As Per 100 g

Energy 325kcal
Total Fat 0.9g
Carbohydrate 74.3g
Total Sugars 48.2g
Protein 5.1g
Cholesterol 0mg
Sodium 16.6mg
Other Product Info:
EAN Code: 40303171   Manufactured Name & Marketed By :Prov Foods Private Limited, Plot no A/719, Near DMK Cold Storage ,-Opposite Parmeet Hotel, TTC Ind Area, MIDC- Khairne, Navi Mumbai, 400710 FSSAI :10020022011411 Country of Origin: India Best Before 10-11-2024.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40009006,Spice - Chilly Flakes,35,35 g,g,,85,,80.75,,2.31,g,80.75,5% OFF,SNAPIN,"Foodgrains, Oil & Masala",Masalas & Spices,Herbs & Seasoning,4.2,N,"About the Product:
Chilli Flakes are made from the choicest red chillies, crushed to the perfect flake size to add fire and flavour to your food.
The flakes imparts a natural red colour to elevate the aesthetics of your daily cooking.
Ingredients:
Chilly Flakes.
How to Use:
Can be use on pizza, pasta and soups.
Nutritional Facts:
Per 100 gm(Approx)

Energy value - 394 kcal
Protein - 14.1 g
Fat - 10.5 g
Carbohydrates - 60.8 g
Other Product Info:
EAN Code: 40009006  Manufactured & Marketed By:701, 7th Floor, ECOSTAR, Vishwesh Nagar, Off Aarey Road, Goregaon (East), MUMBAI - 400063Country of origin: India FSSAI Number :   Best before 24-01-2025   For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
267162,Coriander Powder,500,500 g,g,,230,,154.1,,0.31,g,154.1,33% OFF,Aashirvaad,"Foodgrains, Oil & Masala",Masalas & Spices,Powdered Spices,4,N,"About the Product:
Aashirvaad ensures that only superior quality ingredients reach your kitchen, and Aashirvaad Coriander Powder stays true to that word. Aashirvaad Coriander Powder has been made with love in India using a 4-step advantage process to ensure that only a high-quality product reaches your kitchen.
Aashirvaad has a wide network of farmers covering. It sources dry coriander seeds for its powder directly from these farmers. The experts then carefully select dry, healthy, and round coriander seeds. This ensures that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour. The automated packaging and processing with zero human intervention ensure purity in every pack.
With no added flavours and colours, Aashirvaad Coriander Powder is so potent that even a tiny quantity enhances the aroma and flavour of the dish. So, add a pinch of this coriander powder to bring alive the authentic taste of your preparation!
Ingredients:
Whole Coriander
Features:
1.Aashirvaad Coriander Powder is made using a 4-step advantage process to ensure high-quality coriander powder
2.Coriander seeds are sourced directly from the farmers
3.Dry, healthy, full, and round coriander seeds are selected by experts to ensure that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour
4.The automated packaging and processing ensure that coriander powder remains safe
5.Made from locally grown ingredients, Aashirvaad Coriander Powder is made with love in India
How to Use:
It can be used as a non-vegetarian dish or even a simple sambar or rasam.
Other Product Info:
EAN Code: 8901725108144   Manufactured Name & Marketed By :ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071 FSSAI :10012031000312 Country of Origin: India Best Before 10-12-2024.Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40001313,Coriander Powder,100,100 g,g,,46,,30.82,,0.31,g,30.82,33% OFF,Aashirvaad,"Foodgrains, Oil & Masala",Masalas & Spices,Powdered Spices,4,Y,"About the Product:
Aashirvaad ensures that only superior quality ingredients reach your kitchen, and Aashirvaad Coriander Powder stays true to that word. Aashirvaad Coriander Powder has been made with love in India using a 4-step advantage process to ensure that only a high-quality product reaches your kitchen.
Aashirvaad has a wide network of farmers covering. It sources dry coriander seeds for its powder directly from these farmers. The experts then carefully select dry, healthy, and round coriander seeds. This ensures that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour. The automated packaging and processing with zero human intervention ensure purity in every pack.
With no added flavours and colours, Aashirvaad Coriander Powder is so potent that even a tiny quantity enhances the aroma and flavour of the dish. So, add a pinch of this coriander powder to bring alive the authentic taste of your preparation!
Ingredients:
Whole Coriander
Features:
1.Aashirvaad Coriander Powder is made using a 4-step advantage process to ensure high-quality coriander powder
2.Coriander seeds are sourced directly from the farmers
3.Dry, healthy, full, and round coriander seeds are selected by experts to ensure that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour
4.The automated packaging and processing ensure that coriander powder remains safe
5.Made from locally grown ingredients, Aashirvaad Coriander Powder is made with love in India
Other Product Info:
EAN Code: 8901725108137   Manufactured Name & Marketed By :ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071 FSSAI :10012031000312 Country of Origin: India Best Before 25-12-2024.Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
100004796,Coriander Powder,200,200 g,g,,92,,61.64,,0.31,g,61.64,33% OFF,Aashirvaad,"Foodgrains, Oil & Masala",Masalas & Spices,Powdered Spices,4,Y,"About the Product:
Aashirvaad ensures that only superior quality ingredients reach your kitchen, and Aashirvaad Coriander Powder stays true to that word. Aashirvaad Coriander Powder has been made with love in India using a 4-step advantage process to ensure that only a high-quality product reaches your kitchen.
Aashirvaad has a wide network of farmers covering. It sources dry coriander seeds for its powder directly from these farmers. The experts then carefully select dry, healthy, and round coriander seeds. This ensures that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour. The automated packaging and processing with zero human intervention ensure purity in every pack.
With no added flavours and colours, Aashirvaad Coriander Powder is so potent that even a tiny quantity enhances the aroma and flavour of the dish. So, add a pinch of this coriander powder to bring alive the authentic taste of your preparation!
Ingredients:
Whole Coriander
Features:
1.Aashirvaad Coriander Powder is made using a 4-step advantage process to ensure high-quality coriander powder
2.Coriander seeds are sourced directly from the farmers
3.Dry, healthy, full, and round coriander seeds are selected by experts to ensure that Aashirvaad Coriander Powder is perfectly balanced in aroma and flavour
4.The automated packaging and processing ensure that coriander powder remains safe
5.Made from locally grown ingredients, Aashirvaad Coriander Powder is made with love in India
Other Product Info:
EAN Code: 100004796   Manufactured Name & Marketed By :ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071 FSSAI :10012031000312 Country of Origin: India Best Before 25-12-2024.Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
268052,Powder - Black Pepper,100,100 g,g,,165,,165,,1.65,g,165,,MTR,"Foodgrains, Oil & Masala",Masalas & Spices,Powdered Spices,4.2,N,"Other Product Info:
EAN Code: 8901042954851  Manufactured & Marketed By:Orkla India Private Limited, No 1, 2nd and 3rd floor, 100 feet inner ring road, Ejipura,Bengaluru-560047, Bangalore Urban,Karnataka-560047Country of origin: India   Best before 11-02-2025  Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
268059,Powder - Black Pepper,50,50 g,g,,85,,85,,1.7,g,85,,MTR,"Foodgrains, Oil & Masala",Masalas & Spices,Powdered Spices,4.2,Y,"Other Product Info:
EAN Code: 268059  Manufactured & Marketed By:Orkla India Private Limited, No 1, 2nd and 3rd floor, 100 feet inner ring road, Ejipura,Bengaluru-560047, Bangalore Urban,Karnataka-560047Country of origin: India   Best before 11-02-2025  Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
30004949,Soya Chunks - Nano,200,200 g,g,"No Trans Fat, No Cholesterol",67,,67,,0.34,g,67,,Double Horse,"Foodgrains, Oil & Masala",Dals & Pulses,Cereals & Millets,4.1,N,"About the Product:
Double Horse Nano Soya Chunks are made from soy flour. Soya Chunks contain immunity building nutrients, protein, iron and zinc. It is rich in dietary fibre and strengthens your immunity. It is very easy to prepare and makes tasty dishes. They are a blank canvas that you can paint on, they are odourless and tasteless by themselves. It can be used in many dishes and it is healthy and a good source of calcium. It is also a great replacement for chicken or any other meat.
Nutritional Facts:
Per 100 g :-

Energy/Calories 332 Cal/139 KJ,
Total Fat 0 g,
Saturated fat 0 g,
Trans Fat 0 g,
Cholesterol 0 mg,
Sodium 0 mg,
Total Carbohydrate 29 mg,
Dietary fibre 4 g,
Total Sugars 0 g,
Protein 54 g,
Calcium 614 mg,
Iron 4 mg.
Ingredients:
100 % Soya (defatted).
Storage and Uses:
Soak these soya chunks for around 10 minutes before use.
To soak, place in a small dish and add seasonings such as garam masala, soy sauce or balsamic vinegar, before covering with boiling water.
The soya chunks will expand and will then be ready to cook as if they were normal meat.
Store in a clean, cool and dry place.
Keep away from direct sunlight.
Other Product Info:
EAN Code: 8904011515973
Manufacturer Name & Address: ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071
ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071
Country of origin: India
Best before 18-03-2022
For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com
"
40246443,Organic Polished Rice Sonamasoori - Fine Grain,1000,1 kg,g,,125,,112.5,,112.5,kg,112.5,₹13 OFF,Phalada Pure & Sure,"Foodgrains, Oil & Masala",Organic Staples,"Organic Rice, Other Rice",4.5,N,"About the Product:
Pure & Sure Organic Polished Rice is sourced from the finest organic farms across India. This rice have a tender texture and delicate flavour which makes it an ideal match for all your favourite dishes. It is 100 percent certified organic polished rice, made from the finest quality grains.
Ingredients:
Polished Rice.
Nutritional Facts:
Per 100 g:-
Energy 116 kcal
Protein 2.5 g
Carbohydrates 24.6 g
Total Fat 0.8 g
Calcium 18 mg
Iron 0.8 mg
How to Use:
1. Use this rice to make plain rice, pulav, jeera rice or any other rice recipes.
2. This rice is perfect for everyday use.
Other Product Info:
EAN Code: 8906047000282  FSSAI Number: 10019043002548  Manufacturer Name & Marketed By : Phalada Organic Consumer products Pvt Ltd. 92/5, Kannalli Village Seegehalli, Magadi Main Road, Bangalore – 560091  Country of Origin: India  Best before 12-11-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address:  Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
