product_id,product_desc,magnitude,product_weight,unit,product_USP,MRP,MRP_per_pack,selling_price,sp_per_pack,base_price,base_unit,subscription_price,discount_text,brand,main_category,sub_category1,sub_category2,avg_rating,children,about_the_product
40112402,Roasted Chana Jor - Lime,150,150 g,g,Zero Cholesterol,109,,79,,0.53,g,79,28% OFF,bb Gooddiet,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","Healthy, Baked Snacks",3.9,N,"From the Brand:
About the ProductPer 100 g

Energy-435.17 kcal
Carbohydrate-58 g
Sugar-1.80 g
Dietary fibre-9.20 g
Protein-22.15 g
Total fat - 12.73 g
Trans fat-0 g
Saturated fat-4.16 g
MUFA-4.85 g
PUFA-3.72 g
Cholesterol-0 mg
Ingredients:
Bengal gram flakes(86.21%),
Seasoning mix(Iodised salt,
Iodised salt,Sugar,Spices and 
Condiments (Chilli,Rock Salt,
Coriander,Mango,Garlic,Onion,
Cumin,Ginger,Black pepper,
Turmeric,Fenugreek),Milk 
solids,Hydrolysed vegetable 
protein(Soya),Acidity regulator
(INS 330),Lemon juice powder
(1.5%),Anti-caking agent(INS 
551)),
Edible vegetable oil(Palmolein)
&Antioxidant(INS 306)
(Oil sprayed for seasoning
application only)
How to Use:
Consume it as it is or sprinkle some chopped onions and tomatoes for a wholesome snack.
Storage Information: Store at ambient temperature and away from direct sunlight.
Once opened, refrigerate and consume within two days.
Other Product Info:
EAN Code: 894256704892  Country Of Origin: India Manufacturer name & address: Pioneer Non Fried Foods Pvt Ltd (Good Diet) Add: SP-1, RAJDHANI MANDI YARD KUKAR KHERA, KRASHI UPAJ MANDI SAMITI OPP VKI AREA SIKAR RAOD, JAIPUR, Jaipur, Rajasthan, 302013  FSSAI Number: 12215026000051  FSSAI Number: 12215026000051  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  FSSAI Number: 10019043002767  Best before 11-11-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40124448,"Sauce - Pesto, Sundried, Tomato",200,200 g,g,Zero Trans Fat,290,,246.5,,1.23,g,246.5,15% OFF,Saucery,Gourmet & World Food,"Sauces, Spreads & Dips",Mustard & Cheese Sauces,3.9,N,"About the Product:
Saucery presents its authentic range of a variety of sauces which is an ideal for raking up your favourite concoctions and can be used to make a wide variety of dishes. Saucerys Sundried Tomato Pesto Sauce is made from concentrated flavors of sundried tomatoes fused with grated parmesan, mellow garlic and a touch of rosemary making it a well-rounded, flavourful sauce.
Ingredients:
Olive Oil, Sundried Tomatoes, Herbs, Tomato Puree, Cheese (Parmesan & Cheddar), Edible Oil Seeds (Sunflower & Flax), Garlic, Sugar, Salt
How to Use:
Toss it with spaghetti or spread it your paninis. Use it as a dip by itself, or mix it with hummus, mayonnaise or hung curds for dip variations. Spread it on your pizza, or serve it with warm bread for a quick snack.
Other Product Info:
EAN Code: 40124448  Country of origin: India Gala No. 14, Laxmi Woollen Mills Estate, Off Dr E Moses Road, Mahalaxmi West, Mumbai 400 011  Best before 12-09-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com
"
266012,Vermicelli - Rice Sevai,165,165 g,g,Zero Trans Fat,27,,27,,0.16,g,27,,MTR,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Vermicelli,4,N,"About the Product:
MTR vermicelli is prepared with a special process that makes sure it is non-sticky and does not form lumps. It is to prepare savoury upma or toss it with boiled vegetables for a healthy pulao or make a creamy sweet kheer for the wonderful dessert.
Ingredients:
Rice Flour, Water,
Nutritional Facts:
Nutritional Facts 100 G

Energy: 299Kcal
Total Fat 0. 4G
Carbohydrate: 67G
Natural Sugar: 80G
Protein: 6. 8G
How to Use:
Boil 3 measures of water.
Add 1 measure of Rice Sevai, stir well immediately and cook on a medium flame for 6-7 minutes with occasional stirring.
Drain the water completely and keep it aside for 2 minutes.
Prepare the dish of your choice with the cooked rice sevai.
Other Product Info:
EAN Code: 3948042968230  Manufactured & Marketed By:Orkla India Private Limited, No 1, 2nd and 3rd floor, 100 feet inner ring road, Ejipura,Bengaluru-560047, Bangalore Urban,Karnataka-560047Country of origin: India   Best before 12-02-2025  Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
279367,"YiPPee! Pasta Treat - Cheesy & Soft Suji/Rawa, Masala",65,65 g,g,Source of Protein,32,,25.6,,0.39,g,25.6,20% OFF,Sunfeast,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Pasta,4.1,N,"About the Product:
Looking for a quick wholesome treat that will leave you craving for more? Look no more! Sunfeast YiPPee! Instant Pasta Treat Masala is just what you need. Experience an Italian delicacy that’s been loved and cherished by all age groups for decades, in a different avatar. That’s right, this YiPPee! pasta treat has an Indian twist. It provides you with the full Italian experience while also catering to your Indian taste buds at the same time. Relish its perfect blend of Indian spices that make for a delectable and delicious snack. The pasta is made with the goodness of Suji (Semolina)/Rava. Enjoy its soft, deliciously creamy, melt-in-your-mouth-like texture.
Easy to prepare and quick to finish, Sunfeast YiPPee! Instant Pasta Treat cooks in just under 8 minutes. Treat yourself to the fantastic combination of Indian spices and Italian cuisine with this delicious quick meal. If you’re planning a romantic meal for your special someone or if you wish to surprise your family with something out-of-the-ordinary, then Sunfeast YiPPee! Instant Pasta Treat Masala is the perfect meal to prepare. One bite and they’ll be daydreaming of a place made of all things pasta. Sunfeast YiPPee! Instant pasta also comes in a variety of flavours. Grab your favourite pasta snack now!
Ingredients:
Pasta:- Wheat Semolina (Suji) (100%).
Masala Pasta Sauce Maker:- Dairy Whitener (Milk Solids, Refined Sugar And Emulsifiers ((Ins 33900), Ins 339(iii)}, Iodized Salt, Instant Noddle Powder (Refined Wheat Flour(Maida), Iodised Salt, Wheat Gluten, Doerr (Ins 412), Stabilizers [(Ins 170(0), (Ins 33909), Ohs 4500i0), Ohs4520m And Acidity Regulators [Pis 50101 (Ins 500(011), Spices & Condiments, Hydrolyzed Vegetable Protein, Refined Sugar, Dehydrated Onion, Hydrogenated Vegetable Or, Dehydrated Garlic, Flavour Enhancers (Ins 627, Ins 631), Acidity Regulator (Ins 330) And Dehydrated Fenugreekleaves(004%).
Features:
Delicious instant pasta snack made with Suji (Semolina)/Rawa Soft, creamy, melt-in-your-mouth experience.
Perfect for a delectable wholesome snack.
Tasty masala flavour with a delectable spice mix.
Easy to prepare and quick to finish- ready in just 8 minutes.
Also, try Sunfeast YiPPee!'s other flavours.
Nutritional Facts:
Energy (Kcal) - 357
Carbohydrate (g) - 70.0
Total Sugar (g) - 7.7
Added Sugar (g) - 3.2
Total Fat (g) - 4.0
Trans Fat (other than naturally occurring trans-fat) (g) - 0.03
Saturated Fat (g) - 2.0
Cholestrol (mg) - 3.0
Sodium (mg) - 1624.0
Protein (g) - 12.0
Other Product Info:
EAN Code: __8901725135281__  FSSAI Number:Â 10012031000312 Manufactured & Marketed byITC Limited, 37, J.L. Nehru Road, Kolkata- 700071 .  Country of origin: India  Best before 12-02-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
266560,Classic Chicken Delite Soup,42,42 g,g,No Added Preservatives,70,,63,,1.5,g,63,10% OFF,Knorr,Snacks & Branded Foods,Ready To Cook & Eat,Soups,4.2,N,"About the Product:
The Knorr Chicken Delite Soup is made with Real Chicken and vegetables giving it a lip-smacking taste and perfect consistency every time. Made with 100% real vegetables and no added preservatives, this soup is ready in three simple steps and serves four. This is the perfect soup for all Chicken lovers. So now enjoy Restaurant like delicious Soup at home. Knorr Soups range comprises 11 delicious flavours of 4 serve soups and 7 flavours of Cup-a-soup. Great taste is in our Nature! Knorr has gone to great lengths to ensure a perfect blend of Ingredients and consistency that give you Restaurant Soup at home.
About Knorr: Just like you, we love everything about food, because no delicious meal is cooked without love. Love for carefully selected Ingredients, flavours and spices, or the aroma of dinner wafting through your home. Love for the people you feed every day; your family and friends, relatives and guests, the people that matter to you the most. With Knorr as your cooking partner, you can serve your loved ones nutritious and flavourful meals at home.
Soup Fun Fact - The word soup is of Sanskrit origin! It is derived from the su and po, which means good nutrition.
Ingredients:
Chicken, Onion, Spices & Condiments
How to Use:
Empty entire contents of the pack in 4 cups normal water (600ml)
Place on stove and bring to a boil while stirring continuously to avoid lumps.
Simmer for 3 minutes and serve hot!
Nutritional Facts:
Nutritional Values per serving

Energy (kcal) - 39
Protein (g) - 1.6
Carbohydrates (g) - 7.2 -
Sugar (g) - 2.6
Fat (g) - 0.4
Sodium (mg) - 486
Other Product Info:
EAN Code: 89901030900150  Country Of Origin: India Manufacturer Name & Address : Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099   Best before 12-02-2025   For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40200008,Bhakri Baked Mathri - Methi,180,180 g,g,,120,,65,,0.36,g,65,46% OFF,Tasties,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,4,N,"From the Brand:
About the ProductMade with the freshest of ingredients, the Tasties Namkeen baked Khakras are lightweight, yummy and perfect finger foods. Serve Tasties Namkeen - Bhakhri Baked Mathri Methi with salsa or eat them dipped with your favourite chutney, indulge in a snack that the whole family is bound to love. You can also enjoy them like the Gujaratis do, with a hot serving of ghee and a spread of some delicious groundnut chutney. And if you are looking for more, make sure to check out Tasties Namkeen range of khakhra flavours consisting multigrain, whole wheat and plain.
Ingredients:
Wheat Flour, Rice Bran Oil, Semolina, Refined Wheat Flour, Iodised Salt, Green Chilli Paste, Dried Fenugreek Leaves, Turmeric Powder.
Nutritional Facts:
Per 100 g: 

Energy - 510.81 kcal
Carbohydrate - 61.81 g 
Sugar - 0.4 g 
Dietary fibre - 6.52 g 
Protein- 10.16 g 
Total fat - 24.77 g
Saturated fat - 6.24 g
Sodium 731.77 mg
How to Use:
Ready to eat
Storage Information: Store in ambient temprature, dry & hygienic place, away from sunlight and heat source.
Do not buy if pack is found tampered with
Other Product Info:
EAN Code:40200008 FSSAI Number: 11215302000249, 10019043002767  Manufacturer Name & Address: Meghraj Food Processing (India) P Ltd, Plot no 48, # 179, Jigani Industrial Area, 1st ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â Phase Anekal Taluk, Bangalore Urban- 562106  Marketed by: Supermarket Grocery Supplies Private Limited, Fairway Business Park, EGL, Challaghatta, Domlur, Bengaluru, 560071  Country of Origin: India  Best to use for__PSL__days from delivery date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at:Phone:1860 123 1000 | Address:Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore-560016, Email:customerservice@bigbasket.com Best before 11-11-2024
"
1218534,Sugar Free Chewing Gum - Spearmint,132,6x22 g,g,,300,,255,,1.93,g,255,15% OFF,Orbit,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.1,N,"About the Product:
There are occasions in everyones day when they need to find their inner conviction and believe in themselves. Wrigleys Orbit gives you the confidence needed to rise to the occasion and seize the moment.This sugar-free chewing gum gives you clean and healthy teeth and lets you focus on yourself, while its smooth and refreshing flavour gives you the readiness to make the most of your moment and emerge out stronger than who you were. Now be fresh breath ready with Orbit, even with the mask on! You can always count on Orbit chewing gum for a clean and fresh mouthfeel.The minty flavour of Orbit Spearmint indulges you in a blast of long-lasting freshness. Now pop a piece of your favourite chewing gum and make the first move. Dont let self-doubt erode your confidence; after all, its your Time to Shine. The convenient pot size lets you carry it when you are on the move for a fresh and confident feel.
Ingredients:
Polyols (Sorbitol, Maltitol), Gum Base (Contains Soybean Lecithin), Humectant Glycerine, Polyol Mannitol, Colour E 171, Sweetener Aspartame, Glazing Agent Carnauba Wax, Antioxidant Bha.
How to Use:
Easy to carry chewing gum pot jar.Chew it when you are on the go.Store in a cool & dry condition.Dont keep under direct sunlight.
Other Product Info:
EAN Code: 1218534  Country Of Origin: India  Manufactured by: Wrigleys Orbit Chewing Gum - Watermelon flavored. Wrigley India Pvt Ltd, Doddaballapura road, Bangalore- 560064, Karnataka, India  Best before 26-12-2024  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40080967,Sugar Free Chewing Gum - Spearmint Flavour,22,22 g,g,Zero Trans Fat,50,,50,,2.27,g,50,,Orbit,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.1,Y,"About the Product:
Why this gum? Smell like a gem always! Wrigley’s Orbit Spearmint Sugarfree Chewing Gum gives you the confidence needed to rise to the occasion and seize the moment with an assured cashback worth Rs.25. You can always count on Orbit gum for a clean and fresh mouth feel at any time. What makes it different? This sugar free chewing gum gives you clean and healthy teeth and lets you focus on yourself, while its smooth and refreshing cool spearmint flavour gives you the readiness to make the most of your moment and emerge out stronger than who you were. Now be fresh breath ready with Orbit, even with the mask on! When to have this gum? Pop a gum while working out in a gym, while studying for better concentration or to freshen up behind the mask. Storage Instructions: Store in a cool and dry condition.
Other Product Info:
EAN Code: 40080967Manufactured & Marketed by: MARS International India Pvt. Ltd.4658 - A, No. 21, Ansari Road, Darya Ganj , New Delhi- 110002, India At: Plot no. I-09/11A, Khed City Industrial Area, At PO Nimgaon, Taluka Khed, District Pune - 410 505, Maharashtra, IndiaFssai details:10012011000434Country of Origin: NetherlandsBest before 12-02-2025For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
1215922,Sugar Free Chewing Gum - Spearmint,44,2x22 g,g,,100,,93,,2.11,g,93,₹7 OFF,Orbit,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.1,Y,"About the Product:
There are occasions in everyone’s day when they need to find their inner conviction and believe in themselves. Wrigley’s Orbit gives you the confidence needed to rise to the occasion and seize the moment. This sugar-free chewing gum gives you clean and healthy teeth and lets you focus on yourself, while its smooth and refreshing flavour gives you the readiness to make the most of your moment and emerge out stronger than who you were. Now be fresh breath ready with Orbit, even with the mask on! You can always count on Orbit chewing gum for a clean and fresh mouthfeel. The minty flavour of Orbit Spearmint indulges you in a blast of long-lasting freshness. Now pop a piece of your favourite chewing gum and make the first move. Don’t let self-doubt erode your confidence; after all, it’s your ‘Time to Shine’. The convenient pot size lets you carry it when you are on the move for a fresh and confident feel.
Ingredients:
Polyols (Sorbitol, Maltitol), Gum Base (Contains Soybean Lecithin), Humectant Glycerine, Polyol Mannitol, Colour E 171, Sweetener Aspartame, Glazing Agent Carnauba Wax, Antioxidant Bha.
How to Use:
Easy to carry chewing gum pot jar.Chew it when you are on the go.Store in a cool & dry condition.Don't keep under direct sunlight.
Other Product Info:
EAN Code: 1215922  Country Of Origin: India  Manufactured by: Wrigleys Orbit Chewing Gum - Watermelon flavored. Wrigley India Pvt Ltd, Doddaballapura road, Bangalore- 560064, Karnataka, India  Best before 12-02-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
1215942,Sugar Free Chewing Gum - Spearmint,88,4x22 g,g,,200,,180,,2.05,g,180,₹20 OFF,Orbit,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.1,Y,"About the Product:
There are occasions in everyone’s day when they need to find their inner conviction and believe in themselves. Wrigley’s Orbit gives you the confidence needed to rise to the occasion and seize the moment. This sugar-free chewing gum gives you clean and healthy teeth and lets you focus on yourself, while its smooth and refreshing flavour gives you the readiness to make the most of your moment and emerge out stronger than who you were. Now be fresh breath ready with Orbit, even with the mask on! You can always count on Orbit chewing gum for a clean and fresh mouthfeel. The minty flavour of Orbit Spearmint indulges you in a blast of long-lasting freshness. Now pop a piece of your favourite chewing gum and make the first move. Don’t let self-doubt erode your confidence; after all, it’s your ‘Time to Shine’. The convenient pot size lets you carry it when you are on the move for a fresh and confident feel.
Ingredients:
Polyols (Sorbitol, Maltitol), Gum Base (Contains Soybean Lecithin), Humectant Glycerine, Polyol Mannitol, Colour E 171, Sweetener Aspartame, Glazing Agent Carnauba Wax, Antioxidant Bha.
How to Use:
Easy to carry chewing gum pot jar.Chew it when you are on the go.Store in a cool & dry condition.Don't keep under direct sunlight.
Other Product Info:
EAN Code: 1215942  Country Of Origin: India  Manufactured by: Wrigleys Orbit Chewing Gum - Watermelon flavored. Wrigley India Pvt Ltd, Doddaballapura road, Bangalore- 560064, Karnataka, India  Best before 12-02-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40114500,Tandoori Sauce,180,180 g,g,Trans Fat Free,99,,94.05,,0.52,g,94.05,5% OFF,Wingreens Farms,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Dips & Dressings,4.2,N,"About the Product:
A creamy, rich, tandoori sauce that pairs perfectly with both Indian and Western dishes. Uses:1. Dunk some tikkas 2. Drizzle on biryani 3. Spread on delicious parantha/roti 4. Cook tandoori paneer
weight: 130g, 
type of tin: tube, 
vegetarian, 
shelf life: 6 months
Ingredients:
A creamy, rich, tandoori sauce that pairs perfectly with both Indian and Western dishes. Uses:1. Dunk some tikkas 2. Drizzle on biryani 3. Spread on delicious parantha/roti 4. Cook tandoori paneer
weight: 130g, 
type of tin: tube, 
vegetarian, 
shelf life: 6 months
Other Product Info:
EAN Code: 40114500  Country of origin: India  Manufactured by: WINGREENS FARMS PVT LTD, B-19 Info Technology Park, Sector 34, Gurugram, Haryana 122001 Marketed by: WINGREENS FARMS PVT LTD, B-19 Info Technology Park, Sector 34, Gurugram, Haryana 122001  Best before 09-02-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40229617,Roasted Peanuts,200,200 g,g,,125,,99,,0.5,g,99,21% OFF,Tasties Origins,Snacks & Branded Foods,Snacks & Namkeen,Namkeen & Savoury Snacks,3.9,N,"From the Brand:
About the ProductTasties Origins Kerala Roasted Peanuts Namkeen are made using recipes that have been passed down through the years and are authentically made using flavours and ingredients from Kerala. The Kerala Namkeens line features flavours from the region of spices. Coconuts, bananas, tapioca, and other carefully chosen ingredients are made into delectable snacks and desserts that may be enjoyed at any time of day. Enjoy this selection of Namkeens from Kerala, which are crispy, spicy, sweet, and savoury to satisfy any cravings you may have. It contains a lot of protein, good fats, fibre, and important vitamins and minerals like phosphorus, magnesium, and vitamin E. This snack is a delicious and practical approach to increase energy, sate hunger, and improve general health. Discover the selection of Tasties Origins food items that has something for every palate. You would be reminded of your grandmother's tempting sweets when you taste these namkeen nibbles, which are prepared using traditional techniques. This delicious range of namkeens comes from all nooks, corners and major cities of Kerala from Malappuram to Trivandrum to give each delicacy a unique story. Enjoy all flavours in the appropriate amounts, including salty, sweet, sour, and spicy. Buy now only on Big Basket and have them delivered to your doorstep.
Ingredients:
Peanuts, Red Chilli Powder, Palmolein And Iodised Salt.
Nutritional Facts:
Nutritional Value as per 100gm

Energy: 479 kcal
Carbohydrate: 60.9 g
Total Sugar: 12 g
Added Sugar: 0 g
Protein: 12.1 g
Total Fat: 20.8 g
Saturated Fat: 9.5 g
Trans Fat: 0 g
Cholesterol: 0 mg
Sodium: 350 mg
Storage:
1. Store in a cool and dry place.
2. Keep away from direct sunlight.
Other Product Info:
EAN Code: 17808513447600  FSSAI Number: 11317007000058, 10020043003172  Manufacturer Name & Address: Fresh Products, 5/39 Ambalakkadavu Cheranelloor Kochi 682 034  Marketed by: Innovative Retail Concepts Pvt. Ltd., Ranka Junction, No. 224, 4th Floor, Vijinapura, Old Madras Road, K. R. Puram, Bengaluru - 560016  Country of Origin: India  Best before 27-10-2024  The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
1215870,"Mint - Sugarfree, Peppermint Flavour",45,3x15 pcs,pc,,30,,30,,2.22,g,30,,Center Fresh,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.3,N,"About the Product:
All new Center Fresh Mints, Chali Hawa Mastaani! Sugar-free 3 layered mints in refreshing peppermint flavour. Life is full of chances that can provide big opportunities when your big moment arrives. Good thing is, with all-new Center Fresh Mints, you are prepared for a fresh beginning, anytime, anywhere. 
Pop one of these refreshing mints, for getting a fresh breath. These are the perfect offering for freshness to remain confident anytime, anywhere. The easy to carry, re-sealable dispenser pack allows you to enjoy the refreshing flavour with fewer calories, anywhere. All new Center Fresh 3 layered sugar-free mints to boost your confidence.
Ingredients:
Peppermint Flavoured Mints For Freshness.
How to Use:
The easy to carry, re-sealable dispenser pack allows you to enjoy the refreshing flavour with fewer calories, anywhere. Keep a pack in the pocket, car, or a drawer for minty refreshment anytime
Other Product Info:
EAN Code: 1215870  Country Of Origin: India FSSAI Number: 10012064000100  Manufactured & Marketed By: Perfetti Van Malle,47th Milestone, Delhi - Jaipur Highway, Village - Manesar.
Gurgaon - 122050, Haryana. Best before 10-05-2025  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40159652,"Mints - Peppermint Flavour, Sugar Free",4.5,4.5 g,g,,10,,10,,2.22,g,10,,Center Fresh,Snacks & Branded Foods,Chocolates & Candies,Mints & Chewing Gum,4.3,Y,"About the Product:
From the house of Center Fresh, introducing Center Fresh Mints for a fresh and cool breath anytime, anywhere. These bite-sized mints in an easy-to-carry pack give you the confidence to connect and start something fresh. Center Fresh gives you Fresh Breath and Confidence Anytime Anywhere. Center Fresh: Your Favourite gum for over 25 years. Also try: Center Fresh Mints, Center Fresh Clean Breath, Center Fresh 3 Layer, Center Fresh Xtra.
Ingredients:
Sorbitol, Flavour {Natural(Mint)], Anticaking Agent: Magnesium Salt Of Stearic Acid, Humectant (INS 422), Sweetener (INS 955), Colour (INS 133)
Nutritional Facts:
Energy (kcal): 205
Protein(g): 0
Carbohydrate(g): 98.4
Polyols (g): 98
Total Sugars(g): 0
Added Sugars(g): 0
Total Fat(g): 0.85
Saturated Fat (g): 0.85
Sodium (mg): 0
Other Product Info:
EAN Code: 8901393018691FSSAI No : 10012064000100Manufactured & Marketed by: Perfetti Van Melle 1st Floor, Tower A, Global Business Park, Mehrauli Gurgaon Road, Gurugram, Haryana 122002Country of origin: IndiaBest before 13-05-2025Disclaimer: The expiry date shown here is for indicative purposes only. Please refer to the information provided on the product package received at delivery for the actual expiry date.For Queries/Feedback/Complaints, Contact our Customer Care Executive at Phone: 1860 123 1000 | Address: INNOVATIVE RETAIL CONCEPTS PRIVATE LIMITED No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034. | Email: customerservice@bigbasket.com
"
