product_id,product_desc,magnitude,product_weight,unit,product_USP,MRP,MRP_per_pack,selling_price,sp_per_pack,base_price,base_unit,subscription_price,discount_text,brand,main_category,sub_category1,sub_category2,avg_rating,children,about_the_product
40326066,8820 Men's Super Combed Cotton Round Neck Sleeveless Vest With Extended Length For Easy Tuck - White,3,3 pcs,pc,,659,,659,,219.67,pc,659,,Jockey,Apparel,Men's Apparel,Mens Innerwear,,N,"About the Product:
Made up of 100% super combed cotton fabric. This design boasts an extended length for convenient tucking in, a round neckline and is sleeveless. Furthermore, it is free of labels to ensure comfort throughout the day.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Sleeveless Vests
Model No: 8820-0310-WHITE
Gender: Men
Product Size: M
Brand colour: White
colour Family: White
Brand Collection Name: Modern Classic
Multi Pack: Yes
Pattern: Solid
Fabric: Cotton
Dimensions (L x W x H): 300 x 240 x 30 mm
Pack Type or No. of Pieces: 3 pcs
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash at 40°C
Do not use bleach
Refrain from wringing
Suitable for a low tumble dry
Ironing is not advised
Dry cleaning is not suitable
To maintain colour and quality, wash inside out with like colours.
Other Product Info:
EAN Code: 40326066  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326037,7097 Men's Compact Cotton Stretch Low Show Socks With Stay Fresh Treatment - Black/Grey Melange/Navy Melange,3,3 pcs,pc,,389,,389,,129.67,pc,389,,Jockey,Apparel,Men's Apparel,Men's Accessories,,N,"About the Product:
The fabric is a compact blend of cotton, nylon, and elastane, which gives it a stretchy quality. It has been treated with StayFresh, which has antimicrobial properties to help you remain fresh all day. The elastane welt ensures a 'no-sag' grip, and the fabric offers a full body stretch.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Low Show Socks
Model No: 7097-0310-BLGNM
Gender: Men
Product Size: Free Size
Brand colour: Black/Grey Melange/Navy Melange
colour Family: Multi-colour
Brand Collection Name: 24X7 Men
Multi-Pack: Yes
Pattern: Solid
Fabric: Cotton Nylon Stretch
Dimensions in mm (Length x Width x Height): 120 x 60 x 50
Pack Type: 3 pcs pack
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Wash gently at 40°C
Avoid bleaching
Do not wring
Tumble dry on low
Iron on medium heat
Do not dry clean
Always wash inside out with similar colours
Avoid ironing on label/embroidery
Other Product Info:
EAN Code: 40326037  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40325987,1223 Men's Super Combed Mercerized Cotton Woven Checkered Boxer Shorts With Side Pocket - Black & Navy,2,2 pcs,pc,,999,,999,,499.5,pc,999,,Jockey,Apparel,Men's Apparel,Mens Innerwear,,N,"About the Product:
Made entirely of 100% super combed mercerized cotton woven fabric, which signifies that the fabric composition is pure cotton. The fabric is ultra-soft and durable, with a hidden waistband. It includes convenient side pockets and a front open fly. It is label-free, ensuring comfort throughout the day.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
• Brand: Jockey











• Category: Boxer Shorts• Model Number: 1223-0205-MNV01• Gender: Men's• Size: Large (L)• Brand colour: Black & Navy• colour Family: Navy• Collection: Modern Classic• Multi-Pack: Yes (2 pieces included)• Pattern: Checks• Material: Cotton• Dimensions: 300mm x 240mm x 20mm (LXWXH)• Pack Type: Contains 2 pieces
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash 40°C
Do not bleach
Do not wring
Tumble dry low
Do not iron
Do not dry clean
Wash inside out with like colours
Other Product Info:
EAN Code: 40325987  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40325994,1406 Women's High Coverage Super Combed Cotton Mid Waist Hipster With Concealed Waistband & StayFresh Treatment - Dark Prints,3,3 pcs,pc,,549,,549,,183,pc,549,,Jockey,Apparel,Women's Apparel,Women's Innerwear,,N,"About the Product:
Crafted from 100% super combed cotton fabric, signifying a wholly cotton fabric composition. It incorporates a StayFresh treatment with antimicrobial properties that assist in maintaining freshness all day. It provides high coverage and is designed with a mid-waist fit. Known for its ultra-soft and durable nature, it features a concealed waistband. Additionally, it is label-free, ensuring comfort for the entire day.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
• Brand: Jockey• Category: Hipsters• Model Number: 1406-0310-DKPTD• Gender: Women's• Size: Large (L)• Brand colour: Dark Prints• colour Family: Prints• Collection: Simple Comfort• Multi-Pack: Yes (3 pieces included)• Pattern: Printed• Material: Cotton• Dimensions: 185mm x 125mm x 38mm (LXWXH)• Pack Type: Contains 3 pieces• Disclaimer: This product comes in a variety of Prints/Checks/colours. The pattern shown here is for representation purpose. The product delivered may not be of the same pattern.
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash 40°C
Do not bleach
Do not wring
Tumble dry low
Do not iron
Do not dry clean
Wash inside out with like colours
Other Product Info:
EAN Code: 40325994  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326025,3036 Boy's Super Combed Cotton Rib Fabric Solid Trunk With Front Open Fly & Ultrasoft Waistband - Assorted,3,3 pcs,pc,,645,,645,,215,pc,645,,Jockey,Apparel,Boy'S Wear,Boy'S Innerwear,,N,"About the Product:
The Jockey 3036 Boys Super Combed Cotton Rib Fabric Solid Trunk is a high-quality undergarment designed for comfort and durability. Made from 100% Super Combed Cotton Rib Fabric, it ensures breathability and softness. The trunk features a front open fly for convenience and a concealed, ultra-soft waistband for comfort. It is label-free, eliminating the irritation of tags, making it perfect for all-day wear. The Jockey 3036 Trunk, available in assorted colours, combines practicality with comfort, making it an essential addition to any boy's wardrobe.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Trunks
Model No: 3036-0310-ASSTD
Gender: Boys
Product Size: 7-8 Years
Brand colour: Assorted
colour Family: Multi-colour
Brand Collection Name: Modern Classic
Multi Pack: Yes
Pattern: Solid
Fabric: Cotton
Dimension in mm(LXWXH): 135X11050 mm
Pack Type Or (No of Pcs): 3 pcs
Disclaimer: The product comes in various colours. The colours shown are for representation only. The delivered product's colour may vary.
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash at less than 40°C
Do not bleach
Do not wring
Tumble dry low
Do not iron
Do not dry clean
Wash inside out with like colours
Other Product Info:
EAN Code: 40326025  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326118,SW05 Women's Super-Combed Cotton Elastane Stretch Period Panty With Leak Proof Inner Absorbent Layer & Stay Fresh Treatment - Black,1,1 pc,pc,,449,,449,,449,pc,449,,Jockey,Apparel,Women's Apparel,Women's Innerwear,,N,"About the Product:
Super Combed Cotton Elastane Stretch Fabric Fabric Composition: Cotton and elastane inner absorbent layer with leak proof technology extended crotch construction for added comfort leak proof and reusable stayfresh treatment with antimicrobial properties to help you stay fresh throughout the day full coverage mid waist to be used with sanitary products on heavy flow days ultrasoft and durable concealed waistband label free for all day comfort.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
• Brand: Jockey• Category: Period Panty• Model Number: SW05-0105-BLACK• Gender: Women's• Size: Medium (M)• Brand colour: Black• colour Family: Black• Collection: Simple Comfort• Multi-Pack: No (1 piece included)• Pattern: Solid• Material: Cotton stretch• Dimensions: 135mm x 165mm x 50mm (LXWXH)• Pack Type: Contains 1 piece
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash 40°C
Do not bleach
Do not wring
Tumble dry low
Do not iron
Do not dry clean
Wash inside out with like colours
Other Product Info:
EAN Code: 40326118  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326062,8037 Men's Super Combed Cotton Solid Brief With Ultrasoft Waistband - Black,2,2 pcs,pc,,399,,399,,199.5,pc,399,,Jockey,Apparel,Men's Apparel,Mens Innerwear,,N,"About the Product:
The fabric composition of the Super Combed Cotton Fabric is cotton. It features an ultra-soft and robust waistband. It's free of labels for comfort throughout the day.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Briefs
Model No: 8037-0205-BLACK
Gender: Men
Product Size: M
Brand colour: Black
colour Family: Black
Brand Collection Name: Modern Classic
Multi Pack: Yes
Pattern: Solid
Fabric: Cotton
Dimensions (L x W x H): 170 x 95 x 45 mm
Pack Type or No. of Pieces: 2 pcs
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Wash gently at a temperature of 40°C
Do not use bleach
Avoid wringing the fabric
Use a low setting for tumble drying
Ironing is not recommended
Do not dry clean
Always wash the fabric inside out with similar colours
Other Product Info:
EAN Code: 40326062  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326053,8015 Men's Super Combed Cotton Rib Solid Trunk With Ultrasoft Waistband - Black,2,2 pcs,pc,,539,,539,,269.5,pc,539,,Jockey,Apparel,Men's Apparel,Mens Innerwear,,N,"About the Product:
The material is a super combed cotton rib fabric, which is soft and durable due to its cotton composition. Its design prevents ride-up for added convenience. The waistband is also ultra-soft and it comes without labels to provide comfort all day long.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Trunks
Model No: 8015-0205-BLACK
Gender: Men
Product Size: L
Brand colour: Black
colour Family: Black
Brand Collection Name: Modern Classic
Multi-Pack: Yes
Pattern: Solid
Fabric: Cotton
Dimensions in mm (Length x Width x Height): 170 x 95 x 60
Pack Type: 2 pcs pack
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Wash gently at 40°C
Avoid bleaching
Do not wring
Tumble dry on low
Iron on medium heat
Do not dry clean
Always wash inside out with similar colours
Avoid ironing on label/embroidery
Other Product Info:
EAN Code: 40326053  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326034,7035 Men's Compact Cotton Terry Crew Length Socks With Stay Fresh Treatment - Black/Navy/Charcoal Melange,3,3 pcs,pc,,479,,479,,159.67,pc,479,,Jockey,Apparel,Men's Apparel,Men's Accessories,,N,"About the Product:
The Compact Cotton Stretch Fabric is a unique mixture of Cotton, Nylon, and Elastane. It boasts the StayFresh treatment, which has antimicrobial properties that help to keep you fresh all day. The fabric features an Elastane Welt for a firm, non-sagging grip, and a Terry interior for superior cushioning and absorbency. The fabric also offers full body stretch for maximum comfort and flexibility.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
Brand: Jockey
Category: Formal Socks
Model No: 7035-0310-BLNCH
Gender: Men
Product Size: Free Size
Brand colour: Black/Navy/Charcoal Melange
colour Family: Multi-colour
Brand Collection Name: Sport
Multi-Pack: Yes
Pattern: Solid
Fabric: Cotton Nylon Stretch
Dimensions in mm (Length x Width x Height): 250 x 100 x 70
Pack Type: 3 pcs pack
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Wash gently at 40°C
Avoid bleaching
Do not wring
Tumble dry on low
Iron on medium heat
Do not dry clean
Always wash inside out with similar colours
Avoid ironing on label/embroidery
Other Product Info:
EAN Code: 40326034  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
40326117,SW05 Women's Super-Combed Cotton Elastane Stretch Period Panty With Leak Proof Inner Absorbent Layer & Stay Fresh Treatment - Black,1,1 pc,pc,,449,,449,,449,pc,449,,Jockey,Apparel,Women's Apparel,Women's Innerwear,,N,"About the Product:
The fabric is composed of supremely combed cotton and elastane, creating a stretchy material. For added comfort, there is an extended construction in the crotch area, along with an internal layer that absorbs and provides leak-proof technology. This fabric is reusable and leak-proof, equipped with StayFresh treatment that has antimicrobial properties, ensuring you remain fresh all day. It provides full coverage and sits at mid-waist, ideal to be used with sanitary products during heavy flow days. The ultra-soft and durable concealed waistband ensures all-day comfort, free from any labels.
Since our founding in 1876, we have focused on using the best materials and designs to create products that meet the needs of people from all walks of life. We help people look and feel their best every day, whether they are at home, work, or play. Jockey is a leading manufacturer and marketer of comfort apparel sold in more than 140 countries around the world.
Specification:
• Brand: Jockey• Category: Period Panty• Model Number: SW05-0105-BLACK• Gender: Women's• Size: Large (L)• Brand colour: Black• colour Family: Black• Collection: Simple Comfort• Multi-Pack: No (1 piece included)• Pattern: Solid• Material: Cotton stretch• Dimensions: 135mm x 165mm x 50mm (LXWXH)• Pack Type: Contains 1 piece
Return Policy:
This product is non-returnable and non-refundable.
Care Instruction:
Gentle wash 40°C
Do not bleach
Do not wring
Tumble dry low
Do not iron
Do not dry clean
Wash inside out with like colours
Other Product Info:
EAN Code: 40326117  Manufacturer Name & Marketed by Address:PAGE INDUSTRIES LIMITED, Cessna Business Park, 7th Floor, Umiya Business Bay, Tower-1, Varthur Hobli, Outer Ring Road, Bengaluru, Karnataka - 560103 Country of Origin: IndiaFor Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, Ranka Junction 4th Floor, Tin Factory bus stop. KR Puram, Bangalore - 560016 Email:customerservice@bigbasket.com
"
