ProductID~MainCategory~SubCategory1~SubCategory2~ProductName~Brand~Weight~WeightUnits~StockInHand~MRP~DiscountPercentage~RowUpdateProcessID~RowUpdateTimestamp
100001~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta with Multigrains - High Fibre~Aashirvaad~5~Kg~20~250~2~ghoshanirban~2024-08-01 15:25:29
100002~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta with Multigrains - High Fibre~Aashirvaad~1~Kg~20~50~1~ghoshanirban~2024-08-01 15:48:56
100003~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta with Multigrains - High Fibre~Aashirvaad~2~Kg~10~100~2~ghoshanirban~2024-08-01 15:48:56
100004~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta/Godihittu - Whole Wheat~Aashirvaad~1~Kg~20~40~1~ghoshanirban~2024-08-01 15:58:33
100005~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta/Godihittu - Whole Wheat~Aashirvaad~2~Kg~10~80~2~ghoshanirban~2024-08-01 15:58:33
100006~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Atta/Godihittu - Whole Wheat~Aashirvaad~5~Kg~10~200~2~ghoshanirban~2024-08-01 15:58:33
100007~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Organic Whole Wheat Atta~Aashirvaad~1~Kg~10~100~5~ghoshanirban~2024-08-01 15:58:33
100008~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Organic Whole Wheat Atta~Aashirvaad~2~Kg~20~200~5~ghoshanirban~2024-08-01 15:58:33
100009~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Chakki Fresh Atta~Fortune~1~Kg~20~40~1~ghoshanirban~2024-08-01 15:58:33
100010~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Chakki Fresh Atta~Fortune~2~Kg~20~80~2~ghoshanirban~2024-08-01 15:58:33
100011~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Chakki Fresh Atta~Fortune~5~Kg~20~200~4~ghoshanirban~2024-08-01 15:58:33
100012~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Chakki Fresh Atta~Fortune~10~Kg~20~400~5~ghoshanirban~2024-08-01 15:58:33
100013~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Active Sugar Control Atta~Sugarfit~1~Kg~20~50~1~ghoshanirban~2024-08-01 15:58:33
100014~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Active Sugar Control Atta~Sugarfit~2~Kg~10~100~2~ghoshanirban~2024-08-01 15:58:33
100015~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Active Sugar Control Atta~Sugarfit~5~Kg~10~250~4~ghoshanirban~2024-08-01 15:58:33
100016~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Multi Millet Atta - Made From Ragi, Jowar & Bajra, Rich In Protien, Fibre, Iron, Healthy~Manna~1~Kg~10~100~2~ghoshanirban~2024-08-01 16:02:33
100017~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Multi Millet Atta - Made From Ragi, Jowar & Bajra, Rich In Protien, Fibre, Iron, Healthy~Manna~2~Kg~20~200~2~ghoshanirban~2024-08-01 16:02:33
100018~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Atta Whole Wheat~Multi Millet Atta - Made From Ragi, Jowar & Bajra, Rich In Protien, Fibre, Iron, Healthy~Manna~5~Kg~10~500~5~ghoshanirban~2024-08-01 16:02:33
100019~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Rice & Other Flours~Rice Flour~bb Royal~100~gms~10~50~1~ghoshanirban~2024-08-01 16:10:23
100020~Foodgrains, Oil & Masala~Atta, Flour, Sooji~Rice & Other Flours~Rice Flour~bb Royal~200~gms~20~100~2~ghoshanirban~2024-08-01 16:10:23
