Product_ID,Weight,Magnitude,Magnitude_Unit
40280902,0.25 g,0.25,g
30002381,0.5 g,0.5,g
40014338,0.5 g,0.5,g
40280903,0.5 g,0.5,g
40311252,0.5 g,0.5,g
40011924,1 g,1,g
40196671,1 g,1,g
40280900,1 g,1,g
75013,1 kg,1000,g
102830,1 kg,1000,g
102871,1 Kg,1000,g
102875,1 Kg,1000,g
118572,1 kg,1000,g
119377,1 Kg,1000,g
119384,1 kg,1000,g
119385,1 kg,1000,g
137936,1 Kg,1000,g
154171,1 kg,1000,g
209285,1 kg,1000,g
226491,1 kg,1000,g
236834,1 kg,1000,g
240049,1 kg,1000,g
240065,1 kg,1000,g
241600,1 kg,1000,g
241601,1 kg,1000,g
243336,1 kg,1000,g
243337,1 kg,1000,g
247282,1 kg,1000,g
248003,1 kg,1000,g
248005,1 kg,1000,g
252948,1 kg,1000,g
255516,1 kg,1000,g
255848,1 kg,1000,g
255849,1 kg,1000,g
255850,1 kg,1000,g
255851,1 kg,1000,g
257382,1 kg,1000,g
264326,1 kg,1000,g
269603,1 kg,1000,g
270242,1 kg,1000,g
271541,1 kg,1000,g
273072,1 kg,1000,g
277012,1 kg,1000,g
279837,1 kg,1000,g
279853,1 kg,1000,g
280154,1 kg,1000,g
284422,1 kg,1000,g
301971,1 kg,1000,g
301974,1 kg,1000,g
403793,1 kg,1000,g
414865,1 kg,1000,g
10000416,1 kg,1000,g
10000423,1 kg,1000,g
10000425,1 kg,1000,g
10000428,1 kg,1000,g
10000431,1 kg,1000,g
10000432,1 kg,1000,g
10000434,1 kg,1000,g
10000446,1 kg,1000,g
10000447,1 kg,1000,g
10000448,1 kg,1000,g
10000449,1 kg,1000,g
10000450,1 kg,1000,g
10000451,1 kg,1000,g
10000452,1 kg,1000,g
10000454,1 kg,1000,g
10000457,1 kg,1000,g
10000458,1 kg,1000,g
10000460,1 kg,1000,g
10000462,1 kg,1000,g
10000472,1 kg,1000,g
10000489,1 kg,1000,g
10000800,1 kg,1000,g
10000802,1 kg,1000,g
10000803,1 kg,1000,g
20000432,1 kg,1000,g
20000435,1 kg,1000,g
20000437,1 kg,1000,g
20000486,1 kg,1000,g
20000525,1 kg,1000,g
20000578,1 kg,1000,g
20001038,1 kg,1000,g
20001040,1 kg,1000,g
20001054,1 kg,1000,g
20001056,1 kg,1000,g
20001077,1 kg,1000,g
20003064,1 kg,1000,g
20003068,1 kg,1000,g
20003603,1 kg,1000,g
20003982,1 kg,1000,g
20005214,1 kg,1000,g
20005341,1 kg,1000,g
20006666,1 kg,1000,g
30000155,1 kg,1000,g
30000201,1 kg,1000,g
30000202,1 kg,1000,g
30000214,1 kg,1000,g
30000215,1 kg,1000,g
30000217,1 kg,1000,g
30000219,1 kg,1000,g
30000225,1 kg,1000,g
30000229,1 kg,1000,g
30000590,1 kg,1000,g
30001715,1 kg,1000,g
30002286,1 kg,1000,g
30002287,1 kg,1000,g
30002299,1 kg,1000,g
30002302,1 kg,1000,g
30002305,1 kg,1000,g
30002306,1 kg,1000,g
30002307,1 kg,1000,g
30004195,1 kg,1000,g
30004420,1 kg,1000,g
30004907,1 kg,1000,g
30005415,1 kg,1000,g
30005420,1 kg,1000,g
30005421,1 kg,1000,g
30005422,1 kg,1000,g
30006887,1 kg,1000,g
30010214,1 kg,1000,g
30010216,1 kg,1000,g
30010365,1 kg,1000,g
30010368,1 kg,1000,g
30010377,1 kg,1000,g
30010382,1 kg,1000,g
30010383,1 kg,1000,g
30010466,1 kg,1000,g
40000022,1 kg,1000,g
40000290,1 kg,1000,g
40000291,1 kg,1000,g
40002007,1 kg,1000,g
40002619,1 kg,1000,g
40002644,1 kg,1000,g
40002660,1 kg,1000,g
40003552,1 kg,1000,g
40004534,1 kg,1000,g
40004538,1 kg,1000,g
40004541,1 kg,1000,g
40004549,1 kg,1000,g
40004556,1 kg,1000,g
40004558,1 kg,1000,g
40006525,1 kg,1000,g
40006928,1 kg,1000,g
40009036,1 kg,1000,g
40009039,1 kg,1000,g
40009409,1 kg,1000,g
40009418,1 kg,1000,g
40012923,1 Kg,1000,g
40012925,1 kg,1000,g
40012926,1 kg,1000,g
40014286,1 kg,1000,g
40014290,1 kg,1000,g
40014292,1 kg,1000,g
40014727,1 kg,1000,g
40017085,1 kg,1000,g
40017635,1 kg,1000,g
40017636,1 kg,1000,g
40017929,1 kg,1000,g
40017970,1 kg,1000,g
