product_id,about_the_product,children
40280904,"Zoff Poppy Seed Whole is the ideal way to bring crunch to food. 

Poppy seeds are touted for their ability to ease digestion, improve skin and hair health, and alleviate headaches, coughs, and asthma. The potassium content in Poppy seeds helps treat kidney stones and prevents their re-occurrence. They are typically used to add flavour, texture and crunch to food. Poppy seeds can be eaten whole, ground up, added to a meal, or pressed for poppy seed oil. Poppy seeds can be used on bakery products, like bagels or lemon poppy muffins, but they also can be added to salads and vegetables.

Explore a range of premium quality spices, groceries, pulses, masalas and more from Zoff only on Big Basket.",N
40280906,"Poppy seeds, also known as khus khus, are harvested from the opium plant and are used in cooking. They have an odd nutty flavour, but they come highly recommended when you want to give any dish a wonderful aroma. They have very tiny, darker-than-mustard seeds that are both dull white and black in colour. Enjoy Zoff's khus khus' flavour.",Y
40280905,"Zoff Poppy Seed Whole is the best topping for your morning bagels. 

Poppy seeds are popular for their capacity to promote skin and hair health and relieve headaches, coughs, and asthma. The potassium concentration of poppy seeds aids in the treatment and prevention of kidney stones. They are commonly used to enhance cuisine's flavour, texture, and crunch. Poppy seeds can be eaten whole, crushed up, mixed with a meal, or pressed to produce poppy seed oil. Poppy seeds are commonly used in bakery goods such as bagels and lemon poppy muffins, but they may also be added to salads and vegetables.

Explore a range of premium quality spices, groceries, pulses, masalas and more from Zoff only on Big Basket.",Y
1223145,"Sunpure refined sunflower oil is a non-volatile oil extracted from sunflower seeds.
It is one of the best-known edible oils and is useful for cooking and frying food items.
There are two things which will strike you about this oil; amazing fragrance and purity.",N
274120,"Sunpure Refined Sunflower Oil is a premium cooking oil chosen for its lightness and versatility in the kitchen. Extracted from the finest sunflower seeds, it boasts a high smoke point, making it ideal for frying, sautÃ©ing, and baking without compromising on taste or nutritional value. Its neutral flavour enhances the natural essence of dishes, ensuring a clean and healthy cooking experience. Packed with essential nutrients and free from cholesterol, Sunpure Refined Sunflower Oil supports overall well-being. Trusted by chefs and home cooks alike, it promises consistent quality and superior performance in every culinary creation.",Y
1228376,"Sunpure refined sunflower oil is a non-volatile oil extracted from sunflower seeds.
It is one of the best-known edible oils and is useful for cooking and frying food items.
There are two things which will strike you about this oil; amazing fragrance and purity.",Y
40261322,"Natureland Organics Mustard Oil is the perfect cooking fat for your meals. This mustard oil is cold-pressed, which means that the temperature is kept below 45 °C. This extraction method has been used for centuries and keeps the nutrients intact. It has a very potent scent and can be used on both skin and hair. In addition to its numerous health advantages, it contains significant levels of vitamins. The mustard seeds are sustainably produced from natural farms located throughout India. Its stimulating nature is thought to be the cause of its health advantages. Explore the wide range Natureland Organics groceries from oils to wheat flour, dry fruits and more only on Big Basket.
Benefits

Cold pressed
Certified organic
Preservative-free",N
40065533,"Usage of Mustard Oil shares the fate of broken trust. With changing time our oil changed leading to many diseases and unhealthy lifestyle. Thanks to paid media and paid news which promoted refined oils, imported brands and what not!! Mustard Oil consumption has a rich heritage and tradition involved with it and it’s the oil of our culture from ancient times which suits our cooking style, our food and our culture. Mustard oil stimulates the appetite by increasing salivation by up to eight times.Mustard oil still remains the best oil for cooking with its high smoking point, and always will be with its balanced nutrition profile and if it's Organic; it's an added advantage. Our Kacchi Ghani processed Organic filtered mustard Oil is far better than a solvent extracted refined oils. It has a distinctive pungent taste which imparts its goodness to the food we cook in it.",Y
213273,"Nandini Ghee, produced by the Karnataka Milk Federation (KMF), is a premium quality clarified butter known for its rich aroma and authentic taste. Made from fresh cream, Nandini Ghee is a staple in many Indian households, valued for its purity and traditional preparation methods. It enhances the flavour of various dishes, from sweets and desserts to savoury recipes, and is also used for its medicinal and nutritional benefits in Ayurveda. Available in convenient packaging, Nandini Ghee maintains its freshness and quality, making it a trusted choice for cooking and dietary needs.",N
213253,"A taste of purity, Nandini Ghee is made from pure butter. It is fresh and pure with a delicious flavour. Hygienically manufactured and packed in a special pack to retain the goodness of pure ghee. Available in 200 ml, 500 ml, 1000 ml packs & 15 kg tins.",Y
