product_id,product_desc,magnitude,product_weight,unit,product_USP,MRP,MRP_per_pack,selling_price,sp_per_pack,base_price,base_unit,subscription_price,brand,main_category,sub_category1,sub_category2,avg_rating,children
40280904,"Poppy Seed - Gluten Free, No Preservatives",,100 g,,,390,,175.5,,0.00,null1,175.5,Zoff,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,3.6,N
40280906,Premium Whole Spices Poppy Seed,,50 g,,,105,,47.25,,0.00,null1,47.25,Zoff,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,3.6,Y
40280905,"Poppy Seed - Gluten Free, No Preservatives",,200 g,,,860,,774,,0.00,null1,774,Zoff,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,3.6,Y
1223145,Refined Sunflower Oil,3000,3 x 1 L,ml,,390,,327,,109,L,327,Sunpure ,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sunflower, Rice Bran Oil",4.2,N
274120,Refined Sunflower Oil,1000,1 L,ml,,130,,111,,111,L,111,Sunpure ,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sunflower, Rice Bran Oil",4.2,Y
40261322,"Mustard Oil - Cold Pressed, Pure Kachi Ghani, 100% Natural",,5 L,,,1600,,1280,,0.00,null1,1280,Natureland Organics,"Foodgrains, Oil & Masala",Organic Staples,"Organic Edible Oil, Ghee",4.3,N
40065533,Mustard Oil,,1 L,,Zero Cholesterol,330,,264,,0.00,null1,264,Natureland Organics,"Foodgrains, Oil & Masala",Organic Staples,"Organic Edible Oil, Ghee",4.3,Y
213273,Pure Ghee/Tuppa,1000,1 L,ml,Special Grade,630,,630,,630,L,630,Nandini,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,N
213253,Pure Ghee/Tuppa,500,500 ml,ml,Special Grade,315,,315,,0.63,ml,315,Nandini,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
148674,Pure Ghee/Tuppa,200,200 ml,ml,,141,,141,,0.71,ml,141,Nandini,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
126906,Atta/Godihittu - Whole Wheat,10000,10 kg,g,"0% Maida, 100% Atta",603,,500,,50,kg,500,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,N
30006887,Atta/Godihittu - Whole Wheat,1000,1 kg,g,"0% Maida, 100% Atta",70,,65.52,,65.52,kg,65.52,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,Y
161826,Atta/Godihittu - Whole Wheat,2000,2 kg,g,"0% Maida, 100% Atta",131,,126.5,,63.25,kg,126.5,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,Y
126903,Atta/Godihittu - Whole Wheat,5000,5 kg,g,"0% Maida, 100% Atta",335,,297.82,,59.56,kg,297.82,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,Y
40295212,Sona Masoori Super Premium Raw Rice Bag,26000,26 kg,g,,2600,,1775,,68.27,kg,1775,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,,N
40075895,Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium,1000,1 kg,g,,100,,78,,78,kg,78,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,,Y
40075896,Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium,5000,5 kg,g,,500,,380,,76,kg,380,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,,Y
40075897,Sona Masoori Rice/Akki Raw Rice/Akki - Super Premium,10000,10 kg,g,100% Sortex Cleaned,1000,,725,,72.5,kg,725,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,,Y
40065538,Powder - Heeng,,40 g,,,150,,127.5,,0.00,null1,127.5,Natureland Organics,"Foodgrains, Oil & Masala",Organic Staples,Organic Masalas & Spices,3.9,N
40042841,Toor Dal/Togari Bele - Desi,5000,5 kg,g,,1250,,1090.5,,218.1,kg,1090.5,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",3.9,N
10000444,Toor Dal/Togari Bele - Desi,500,500 g,g,,125,,121,,0.24,g,121,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",3.9,Y
10000425,Toor Dal/Togari Bele - Desi,1000,1 kg,g,,250,,231.5,,231.5,kg,231.5,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",3.9,Y
10000804,Toor Dal/Togari Bele - Desi,2000,2 kg,g,,500,,436.5,,218.25,kg,436.5,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",3.9,Y
40000291,Toor Dal/Togari Bele,1000,1 kg,g,Source of Protein,309,,236,,236,kg,236,Tata Sampann,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,N
40000292,Toor Dal/Togari Bele,500,500 g,g,,155,,150.35,,0.3,g,150.35,Tata Sampann,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,Y
40289045,Unpolished Toor Dal/Arhar Dal,2000,2 kg,g,,618,,568.56,,284.28,kg,568.56,Tata Sampann,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,Y
40289046,Unpolished Toor Dal/Arhar Dal,5000,5 kg,g,,1545,,1390.5,,278.1,kg,1390.5,Tata Sampann,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,Y
40261325,Organic Sunflower Oil,,5 L,,,1950,,1560,,0.00,null1,1560,Natureland Organics,"Foodgrains, Oil & Masala",Organic Staples,"Organic Edible Oil, Ghee",3.9,N
40065535,"Nature land Sunflower Oil, 1 L",,1 L,,Zero Cholesterol,399,,339.15,,0.00,null1,339.15,Natureland Organics,"Foodgrains, Oil & Masala",Organic Staples,"Organic Edible Oil, Ghee",3.9,Y
1228371,Sun Lite Refined Sunflower Oil,3000,3 x 1 L,ml,,369,,324,,108,L,324,Fortune,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sunflower, Rice Bran Oil",4.1,N
274145,Sun Lite Refined Sunflower Oil,1000,1 L,ml,,123,,110,,110,L,110,Fortune,"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sunflower, Rice Bran Oil",4.1,Y
252429,Ghee/Tuppa,500,500 ml,ml,,425,,386,,0.77,ml,386,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,N
252425,Ghee/Tuppa,200,200 ml,ml,,173,,173,,0.87,ml,173,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
252427,Ghee/Tuppa,200,200 ml,ml,,180,,180,,0.9,ml,180,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
252423,Ghee/Tuppa,500,500 ml,ml,,419,,397,,0.79,ml,397,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
123596,Ghee/Tuppa,1000,1 L,ml,,788,,788,,788,L,788,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
255834,Ghee/Tuppa,1000,1 L,ml,,835,,835,,835,L,835,GRB,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,4.1,Y
40030808,Cumin/Jeera/Jeerige - Whole,1000,1 kg,g,,1200,,489,,489,kg,489,bb Royal,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,4,N
30000308,Cumin/Jeera/Jeerige - Whole,50,50 g,g,,60,,27,,0.54,g,27,bb Royal,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,4,Y
10000479,Cumin/Jeera/Jeerige - Whole,100,100 g,g,,120,,52,,0.52,g,52,bb Royal,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,4,Y
10000486,Cumin/Jeera/Jeerige - Whole,200,200 g,g,,240,,102,,0.51,g,102,bb Royal,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,4,Y
40026603,Cumin/Jeera/Jeerige - Whole,500,500 g,g,,600,,250,,0.5,g,250,bb Royal,"Foodgrains, Oil & Masala",Masalas & Spices,Whole Spices,4,Y
40021402,Cashew/Godambi - Whole,1000,1 kg,g,,2000,,1018,,1018,kg,1018,bb Popular,"Foodgrains, Oil & Masala",Dry Fruits,Cashews,4,N
10000497,Cashew/Godambi - Whole,100,100 g,g,,200,,109,,1.09,g,109,bb Popular,"Foodgrains, Oil & Masala",Dry Fruits,Cashews,4,Y
10000523,Cashew/Godambi - Whole,200,200 g,g,Source of Protein,400,,212,,1.06,g,212,bb Popular,"Foodgrains, Oil & Masala",Dry Fruits,Cashews,4,Y
10000551,Cashew/Godambi - Whole,500,500 g,g,,1000,,515,,1.03,g,515,bb Popular,"Foodgrains, Oil & Masala",Dry Fruits,Cashews,4,Y
10000475,Besan Fine/Kadale Hittu,,500 g,,,83,,57,,0.00,null1,57,bb Royal,"Foodgrains, Oil & Masala","Atta, Flours & Sooji","Sooji, Maida & Besan",3.9,N
30000155,Besan Fine/Kadale Hittu,,1 kg,,,150,,109,,0.00,null1,109,bb Royal,"Foodgrains, Oil & Masala","Atta, Flours & Sooji","Sooji, Maida & Besan",3.9,Y
40072494,Organic - Toor Dal/Togari Bele,1000,1 kg,g,"GMO Free, Synthetic Pesticide Free",299,,231.5,,231.5,kg,231.5,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,4,N
40135858,Organic - Toor Dal/Togari Bele,5000,5 kg,g,,1200,,1090.5,,218.1,kg,1090.5,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,4,Y
40072495,Organic - Toor Dal/Togari Bele,500,500 g,g,"GMO Free, Synthetic Pesticide Free",150,,121,,0.24,g,121,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,4,Y
40075469,Organic - Toor Dal/Togari Bele,2000,2 kg,g,"GMO Free, Synthetic Pesticide Free",549,,436.5,,218.25,kg,436.5,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,4,Y
40236231,Select Sharbati Atta,10000,10 kg,g,,725,,594.5,,59.45,kg,594.5,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,N
270242,Atta/Godihittu - Select,1000,1 kg,g,100% MP Whole Wheat,77.5,,72.08,,72.08,kg,72.08,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,Y
204629,Select Atta/Godihittu,5000,5 kg,g,100% MP Whole Wheat,373.5,,309,,61.8,kg,309,Aashirvaad,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,4.1,Y
40295210,Sona Masoori Raw Rice,26000,26 kg,g,,2340,,1725,,66.35,kg,1725,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,3.5,N
10000457,"Rice/Akki - Raw, Sona Masoori",1000,1 kg,g,,90,,76,,76,kg,76,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,3.5,Y
10000415,"Rice/Akki - Raw, Sona Masoori",5000,5 kg,g,100% Sortex Cleaned,450,,370,,74,kg,370,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,4.1,Y
10000404,"Rice/Akki - Raw, Sona Masoori, 12-17 Months Old",10000,10 kg,g,100% Sortex Cleaned,900,,730,,73,kg,730,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,3.5,Y
1229908,Sona Masoori Raw Rice - 12 + Months Old,20000,2 x 10 kg,g,,1800,,1460,,73,kg,1460,bb Royal,"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,3.5,Y
40253563,Sugar,1000,1 kg,g,,65,,51.51,,51.51,kg,51.51,Madhur,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Sugar & Jaggery,4.1,N
40253564,"Sugar - Pure & Hygienic, Fine Grain, Natural, Sulphur Free",5000,5 kg,g,,315,,257.6,,51.52,kg,257.6,Madhur,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Sugar & Jaggery,4.1,Y
30010379,Urad Dal/Uddina Bele - Split,500,500 g,g,,111,,86,,0.17,g,86,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,Urad & Other Dals,3.9,N
30010377,Urad Dal/Uddina Bele - Split,1000,1 kg,g,,220,,172,,172,kg,172,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,Urad & Other Dals,3.9,Y
10000412,Toor/Arhar Dal,5000,5 kg,g,Nice Aroma & No Added Colour,1225,,1025,,205,kg,1025,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",,N
10000428,Toor/Arhar Dal,1000,1 kg,g,,245,,205,,205,kg,205,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",,Y
10000427,Toor/Arhar Dal,500,500 g,g,,123,,109,,0.22,g,109,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",,Y
40000263,Toor/Arhar Dal,2000,2 kg,g,,490,,410,,205,kg,410,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",,Y
30000120,Peanuts/Kadalekayi - Raw,200,200 g,g,,50,,40,,0.2,g,40,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,Cereals & Millets,,N
10000446,Peanuts/Kadalekayi - Raw,1000,1 kg,g,,230,,192,,192,kg,192,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,Cereals & Millets,,Y
10000442,Peanuts/Kadalekayi - Raw,500,500 g,g,,115,,98,,0.2,g,98,bb Royal,"Foodgrains, Oil & Masala",Dals & Pulses,Cereals & Millets,,Y
30005420,Moong Dal/Hesaru Bele,1000,1 kg,g,,195,,151,,151,kg,151,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,N
40044731,Moong Dal/Hesaru Bele,2000,2 kg,g,,380,,296,,148,kg,296,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,Y
60000007,Moong Dal/Hesaru Bele,500,500 g,g,,98,,77,,0.15,g,77,bb Popular,"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",4,Y
241600,Vacuum Evaporated Iodised Salt - Helps Mental Development,1000,1 kg,g,,28,,25,,25,kg,25,Tata Salt,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Salts,4.3,N
40101871,Organic - Almond/Badam,500,500 g,g,,675,,495,,0.99,g,495,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,3.9,N
40072510,Organic Almond,100,100 g,g,"GMO Free, Synthetic Pesticide Free",140,,115,,1.15,g,115,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,3.9,Y
40092231,Organic Almond,200,200 g,g,"GMO Free, Synthetic Pesticide Free",270,,226,,1.13,g,226,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,3.9,Y
40125916,Organic Almond,1000,1 kg,g,"GMO Free, Synthetic Pesticide Free",1299,,1093,,1093,kg,1093,bb Royal,"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,3.9,Y
